iter	Passed	Remaining
0	1	128
1	2	113
2	3	107
3	4	104
4	5	102
5	6	101
6	7	99
7	8	98
8	9	98
9	10	97
10	11	95
11	12	94
12	13	93
13	15	92
14	16	90
15	17	89
16	18	88
17	19	87
18	20	85
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	60
42	45	59
43	45	58
44	46	57
45	47	56
46	48	55
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	55	48
53	56	47
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	75	28
73	77	27
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
