iter	Passed	Remaining
0	154	154803
1	157	78575
2	159	53170
3	162	40427
4	164	32770
5	167	27728
6	169	24104
7	172	21400
8	175	19275
9	177	17590
10	180	16204
11	182	15044
12	184	14021
13	186	13143
14	188	12397
15	190	11707
16	191	11096
17	193	10556
18	194	10065
19	196	9617
20	197	9219
21	199	8850
22	200	8515
23	201	8207
24	203	7918
25	204	7654
26	205	7408
27	206	7180
28	207	6963
29	209	6763
30	210	6572
31	211	6389
32	212	6221
33	213	6064
34	214	5915
35	215	5774
36	216	5645
37	217	5518
38	218	5396
39	220	5280
40	220	5168
41	222	5068
42	223	4980
43	224	4888
44	226	4798
45	227	4711
46	228	4627
47	229	4546
48	230	4468
49	231	4395
50	232	4325
51	233	4257
52	234	4192
53	235	4129
54	236	4068
55	237	4009
56	238	3953
57	239	3897
58	241	3846
59	242	3800
60	243	3750
61	244	3701
62	245	3655
63	246	3610
64	247	3566
65	248	3522
66	250	3482
67	251	3441
68	252	3401
69	253	3362
70	254	3326
71	255	3289
72	256	3254
73	257	3221
74	258	3188
75	259	3159
76	260	3126
77	261	3095
78	263	3066
79	264	3038
80	265	3009
81	266	2981
82	266	2948
83	267	2921
84	269	2895
85	270	2870
86	271	2846
87	272	2821
88	273	2798
89	274	2775
90	275	2752
91	276	2729
92	278	2711
93	279	2691
94	280	2670
95	281	2649
96	282	2629
97	283	2609
98	284	2589
99	285	2570
100	286	2551
101	287	2534
102	288	2515
103	289	2497
104	291	2480
105	292	2464
106	293	2447
107	294	2430
108	295	2415
109	296	2402
110	297	2386
111	299	2370
112	300	2355
113	301	2340
114	302	2325
115	303	2311
116	304	2294
117	305	2281
118	306	2267
119	307	2253
120	308	2239
121	309	2225
122	310	2211
123	311	2199
124	312	2186
125	313	2176
126	314	2164
127	316	2153
128	317	2142
129	318	2130
130	319	2118
131	320	2107
132	321	2096
133	322	2084
134	323	2074
135	324	2063
136	326	2054
137	327	2044
138	328	2034
139	329	2024
140	330	2014
141	331	2001
142	332	1994
143	334	1985
144	335	1975
145	336	1965
146	337	1956
147	338	1946
148	339	1937
149	340	1928
150	341	1920
151	342	1911
152	343	1903
153	344	1895
154	345	1886
155	347	1878
156	348	1869
157	349	1860
158	350	1853
159	351	1846
160	352	1836
161	353	1827
162	354	1820
163	355	1811
164	356	1803
165	357	1796
166	358	1789
167	359	1781
168	360	1775
169	362	1767
170	363	1760
171	364	1752
172	365	1745
173	366	1738
174	367	1732
175	368	1726
176	369	1719
177	370	1712
178	371	1705
179	373	1699
180	374	1693
181	375	1686
182	376	1680
183	377	1673
184	378	1667
185	379	1660
186	380	1654
187	381	1648
188	382	1642
189	383	1636
190	385	1630
191	386	1625
192	387	1619
193	388	1613
194	389	1608
195	390	1602
196	391	1596
197	392	1590
198	393	1584
199	394	1578
200	395	1572
201	396	1566
202	397	1561
203	398	1556
204	399	1550
205	401	1545
206	402	1540
207	403	1535
208	404	1530
209	405	1526
210	407	1523
211	408	1517
212	409	1512
213	410	1507
214	411	1501
215	412	1496
216	413	1491
217	414	1486
218	415	1482
219	416	1477
220	417	1472
221	418	1467
222	419	1462
223	420	1457
224	421	1452
225	422	1448
226	424	1444
227	425	1439
228	426	1435
229	427	1430
230	428	1426
231	429	1422
232	430	1417
233	431	1412
234	432	1408
235	433	1404
236	434	1400
237	435	1395
238	436	1391
239	438	1387
240	439	1383
241	440	1378
242	441	1374
243	442	1370
244	443	1366
245	444	1362
246	445	1358
247	446	1354
248	447	1350
249	448	1346
250	449	1342
251	450	1338
252	451	1334
253	453	1330
254	454	1327
255	455	1323
256	456	1319
257	457	1316
258	458	1311
259	459	1308
260	461	1305
261	462	1302
262	463	1298
263	464	1294
264	465	1291
265	466	1287
266	467	1284
267	468	1280
268	469	1276
269	470	1273
270	472	1269
271	472	1265
272	474	1262
273	475	1258
274	476	1254
275	477	1251
276	478	1247
277	479	1245
278	480	1242
279	481	1238
280	482	1234
281	483	1231
282	484	1227
283	485	1224
284	486	1220
285	487	1217
286	488	1214
287	489	1210
288	490	1207
289	491	1204
290	493	1201
291	494	1198
292	495	1194
293	496	1191
294	498	1191
295	499	1188
296	500	1185
297	501	1182
298	502	1179
299	503	1175
300	505	1172
301	505	1169
302	507	1166
303	508	1163
304	509	1160
305	510	1157
306	511	1154
307	512	1151
308	513	1148
309	514	1145
310	516	1143
311	517	1140
312	518	1137
313	519	1134
314	520	1131
315	521	1128
316	522	1125
317	523	1122
318	524	1119
319	525	1116
320	526	1113
321	527	1110
322	528	1108
323	529	1105
324	530	1102
325	531	1099
326	533	1097
327	534	1094
328	535	1092
329	536	1089
330	537	1086
331	538	1083
332	539	1080
333	540	1077
334	541	1074
335	542	1071
336	543	1069
337	544	1066
338	545	1063
339	546	1060
340	547	1057
341	548	1055
342	549	1052
343	550	1049
344	551	1047
345	553	1045
346	554	1042
347	555	1039
348	555	1036
349	556	1034
350	557	1031
351	558	1028
352	559	1026
353	560	1023
354	561	1020
355	562	1018
356	563	1015
357	564	1012
358	565	1010
359	566	1007
360	567	1004
361	568	1002
362	570	1000
363	571	998
364	572	995
365	573	993
366	574	990
367	575	987
368	576	985
369	577	982
370	578	980
371	579	978
372	580	975
373	581	973
374	582	970
375	583	968
376	584	965
377	585	963
378	586	960
379	587	958
380	589	957
381	590	955
382	591	952
383	592	950
384	593	947
385	594	945
386	595	943
387	596	940
388	597	938
389	598	935
390	599	933
391	600	931
392	601	928
393	602	926
394	603	923
395	604	921
396	605	918
397	606	916
398	607	915
399	608	913
400	609	910
401	610	908
402	611	906
403	612	904
404	613	901
405	614	899
406	615	897
407	616	894
408	617	892
409	618	890
410	619	888
411	620	885
412	621	883
413	622	881
414	623	879
415	624	877
416	626	875
417	627	873
418	628	870
419	628	868
420	629	866
421	630	864
422	631	862
423	632	859
424	633	857
425	634	855
426	635	853
427	636	850
428	637	848
429	638	846
430	639	844
431	640	842
432	641	840
433	642	838
434	643	836
435	644	834
436	646	832
437	647	830
438	648	828
439	649	826
440	650	824
441	651	821
442	651	819
443	653	817
444	654	815
445	655	813
446	656	811
447	657	809
448	657	807
449	658	805
450	659	803
451	661	801
452	662	799
453	663	797
454	664	795
455	665	794
456	666	792
457	667	790
458	668	788
459	669	786
460	670	784
461	671	782
462	672	780
463	673	778
464	674	776
465	675	774
466	676	772
467	677	770
468	678	768
469	680	767
470	681	765
471	682	763
472	683	761
473	684	759
474	685	757
475	686	755
476	687	753
477	688	751
478	689	749
479	690	748
480	691	746
481	692	744
482	693	742
483	694	740
484	695	738
485	696	736
486	697	735
487	699	733
488	700	731
489	701	729
490	702	727
491	703	726
492	704	724
493	705	722
494	706	720
495	707	718
496	708	716
497	709	714
498	710	713
499	711	711
500	712	709
501	713	707
502	714	705
503	715	704
504	717	703
505	718	701
506	719	699
507	720	697
508	721	696
509	722	694
510	723	692
511	724	690
512	725	688
513	726	686
514	727	685
515	728	683
516	729	681
517	730	679
518	731	677
519	732	676
520	733	674
521	734	672
522	735	671
523	736	669
524	737	667
525	738	665
526	739	663
527	740	662
528	741	660
529	742	658
530	743	656
531	745	655
532	746	653
533	747	651
534	748	650
535	749	648
536	750	646
537	751	645
538	752	643
539	753	642
540	755	640
541	756	638
542	757	637
543	758	635
544	759	633
545	760	632
546	761	630
547	762	628
548	763	627
549	764	625
550	765	623
551	766	622
552	767	620
553	768	618
554	769	617
555	770	615
556	771	613
557	772	612
558	773	610
559	774	608
560	775	606
561	776	604
562	777	603
563	778	601
564	779	599
565	780	598
566	781	596
567	782	594
568	783	593
569	784	591
570	785	589
571	786	588
572	787	586
573	788	584
574	789	583
575	790	581
576	791	580
577	792	578
578	793	577
579	794	575
580	795	573
581	796	572
582	797	570
583	798	568
584	799	567
585	800	565
586	801	563
587	802	562
588	803	560
589	804	558
590	805	557
591	806	555
592	807	554
593	808	552
594	809	551
595	810	549
596	811	547
597	812	546
598	813	544
599	814	542
600	815	541
601	816	539
602	817	538
603	818	536
604	819	534
605	820	533
606	821	531
607	822	529
608	823	528
609	823	526
610	825	525
611	827	524
612	828	522
613	829	521
614	830	519
615	831	518
616	832	516
617	833	514
618	834	513
619	835	511
620	836	510
621	837	508
622	838	507
623	839	505
624	840	504
625	841	502
626	842	501
627	843	499
628	844	498
629	845	496
630	846	495
631	847	493
632	848	491
633	849	490
634	850	488
635	851	487
636	852	485
637	853	484
638	854	482
639	855	481
640	856	479
641	857	478
642	858	476
643	859	475
644	860	473
645	861	472
646	862	470
647	863	469
648	864	467
649	865	466
650	867	464
651	868	463
652	869	461
653	870	460
654	871	458
655	872	457
656	873	455
657	874	454
658	875	452
659	875	451
660	877	449
661	877	448
662	878	446
663	879	445
664	881	444
665	882	442
666	883	441
667	884	439
668	885	437
669	886	436
670	887	434
671	887	433
672	888	431
673	889	430
674	890	428
675	891	427
676	893	426
677	894	424
678	895	423
679	896	421
680	897	420
681	898	418
682	899	417
683	900	416
684	901	414
685	902	413
686	903	411
687	904	410
688	905	408
689	906	407
690	907	406
691	908	404
692	909	403
693	910	401
694	912	400
695	913	398
696	914	397
697	915	395
698	916	394
699	917	393
700	918	391
701	919	390
702	920	388
703	921	387
704	922	386
705	923	384
706	924	383
707	925	381
708	926	380
709	927	378
710	928	377
711	929	376
712	930	374
713	931	373
714	932	371
715	933	370
716	934	368
717	936	367
718	937	366
719	938	364
720	939	363
721	940	362
722	941	360
723	942	359
724	943	357
725	944	356
726	945	355
727	946	353
728	947	352
729	948	350
730	949	349
731	950	348
732	951	346
733	952	345
734	953	343
735	954	342
736	956	341
737	957	339
738	958	338
739	959	336
740	960	335
741	960	334
742	961	332
743	963	331
744	964	329
745	965	328
746	966	327
747	967	325
748	968	324
749	969	323
750	970	321
751	971	320
752	972	319
753	973	317
754	974	316
755	975	314
756	976	313
757	977	312
758	978	310
759	979	309
760	980	308
761	981	306
762	982	305
763	984	303
764	985	302
765	985	301
766	987	299
767	988	298
768	988	297
769	989	295
770	991	294
771	992	292
772	993	291
773	994	290
774	995	288
775	996	287
776	997	286
777	998	284
778	999	283
779	1000	282
780	1000	280
781	1001	279
782	1003	278
783	1004	276
784	1005	275
785	1006	274
786	1007	272
787	1008	271
788	1009	270
789	1010	268
790	1011	267
791	1012	266
792	1013	264
793	1014	263
794	1015	261
795	1016	260
796	1017	259
797	1018	257
798	1019	256
799	1020	255
800	1022	253
801	1022	252
802	1023	251
803	1024	249
804	1025	248
805	1026	247
806	1028	245
807	1029	244
808	1030	243
809	1031	241
810	1032	240
811	1033	239
812	1034	237
813	1035	236
814	1036	235
815	1037	233
816	1038	232
817	1039	231
818	1040	229
819	1041	228
820	1042	227
821	1043	225
822	1044	224
823	1045	223
824	1046	222
825	1047	220
826	1048	219
827	1049	218
828	1050	216
829	1051	215
830	1052	214
831	1054	212
832	1054	211
833	1056	210
834	1057	208
835	1058	207
836	1059	206
837	1060	204
838	1061	203
839	1062	202
840	1064	201
841	1065	199
842	1066	198
843	1067	197
844	1068	195
845	1069	194
846	1070	193
847	1071	191
848	1072	190
849	1073	189
850	1074	188
851	1075	186
852	1076	185
853	1077	184
854	1078	182
855	1079	181
856	1080	180
857	1081	178
858	1082	177
859	1083	176
860	1084	175
861	1085	173
862	1086	172
863	1087	171
864	1088	169
865	1089	168
866	1090	167
867	1091	166
868	1092	164
869	1093	163
870	1095	162
871	1096	160
872	1097	159
873	1098	158
874	1099	157
875	1100	155
876	1101	154
877	1102	153
878	1103	151
879	1104	150
880	1105	149
881	1106	148
882	1107	146
883	1108	145
884	1109	144
885	1110	142
886	1111	141
887	1112	140
888	1113	139
889	1114	137
890	1115	136
891	1116	135
892	1117	133
893	1119	132
894	1120	131
895	1121	130
896	1122	128
897	1123	127
898	1124	126
899	1125	125
900	1126	123
901	1127	122
902	1128	121
903	1129	119
904	1130	118
905	1131	117
906	1132	116
907	1133	114
908	1134	113
909	1135	112
910	1136	111
911	1138	109
912	1139	108
913	1140	107
914	1141	105
915	1141	104
916	1142	103
917	1143	102
918	1144	100
919	1145	99
920	1146	98
921	1147	97
922	1148	95
923	1149	94
924	1150	93
925	1151	92
926	1152	90
927	1153	89
928	1155	88
929	1156	87
930	1157	85
931	1158	84
932	1159	83
933	1160	82
934	1161	80
935	1162	79
936	1163	78
937	1164	76
938	1165	75
939	1166	74
940	1167	73
941	1168	71
942	1169	70
943	1170	69
944	1171	68
945	1172	66
946	1174	65
947	1175	64
948	1176	63
949	1177	61
950	1178	60
951	1179	59
952	1180	58
953	1181	56
954	1182	55
955	1183	54
956	1184	53
957	1185	51
958	1186	50
959	1187	49
960	1188	48
961	1189	47
962	1190	45
963	1191	44
964	1193	43
965	1194	42
966	1195	40
967	1196	39
968	1197	38
969	1198	37
970	1199	35
971	1200	34
972	1201	33
973	1202	32
974	1203	30
975	1204	29
976	1205	28
977	1206	27
978	1207	25
979	1208	24
980	1209	23
981	1211	22
982	1212	20
983	1213	19
984	1214	18
985	1215	17
986	1216	16
987	1217	14
988	1218	13
989	1219	12
990	1220	11
991	1221	9
992	1222	8
993	1223	7
994	1224	6
995	1225	4
996	1226	3
997	1227	2
998	1228	1
999	1229	0
